# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Apr  8 13:55:52 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.062, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00024632 -1.80000 10.00000 0.0900000036 1.0816895926    0.090 -3.200  3.4843  5.482    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.8e-17      0.00 7.487e-01 2.510e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.681e-04 12.770 13.559 15.290 12.330
0.00024632 -1.80000 10.00000 0.0970072895 1.1456095576    0.097 -2.941  3.5222  5.407    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.14e-17      0.00 7.473e-01 2.525e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 12.124 12.756 14.020 11.660
0.00024632 -1.80000 10.00000 0.1000000015 1.1711064122    0.100 -2.837  3.5376  5.377    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-16      0.00 7.466e-01 2.531e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.862 12.427 13.563 11.380
0.00024632 -1.80000 10.00000 0.1199999973 1.3193154249    0.120 -2.544  3.5684  5.287    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.36e-16      0.00 7.440e-01 2.557e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.681e-04 11.131 11.563 12.500 10.608
0.00024632 -1.80000 10.00000 0.1400000006 1.4384526719    0.140 -2.362  3.5833  5.231    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-16      0.00 7.422e-01 2.576e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 10.675 11.052 11.914 10.136
0.00024632 -1.80000 10.00000 0.1599999964 1.5372931554    0.160 -2.220  3.5930  5.186    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.84e-16      0.00 7.409e-01 2.588e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 10.319 10.663 11.480 9.773
0.00024632 -1.80000 10.00000 0.2000000179 1.6938791367    0.200 -2.000  3.6055  5.112    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.81e-16      0.00 7.399e-01 2.599e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 9.769 10.073 10.836 9.214
0.00024632 -1.80000 10.00000 0.2500000000 1.8403257998    0.250 -1.796  3.6165  5.050    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-15      0.00 7.399e-01 2.598e-01 4.822e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 9.260 9.529 10.248 8.698
0.00024632 -1.80000 10.00000 0.3000000417 1.9529140366    0.300 -1.640  3.6254  5.009    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-15      0.00 7.400e-01 2.597e-01 4.821e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 8.870 9.111 9.796 8.303
0.00024632 -1.80000 10.00000 0.3499999940 2.0434174644    0.350 -1.513  3.6335  4.980    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.11e-15      0.00 7.400e-01 2.597e-01 4.819e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 8.551 8.768 9.423 7.979
