SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag
3950102725170058880,182.54985914517684,18.539131512657658,-1.8751250172361806,-2.0661311009762926,-0.9946475096110465,1.0957018,0.87289923,1.0688952,1.4360601,1.4025121,14,1.222808,0.6443901,20.225628
3950102725172877824,182.53902255253573,18.53316788310781,0.33758898927267467,-2.1655062699887058,-2.731644097484246,0.8543417,0.5998431,1.1115844,1.9707285,2.3717616,15,1.111379,0.60785675,19.926857
3950102931327879040,182.55650664981138,18.556773608866212,-0.25467818138567677,-1.9107005333259106,-2.036851406047838,0.6150107,0.46759996,0.9717505,0.0,-0.61279845,16,1.1147954,0.57504654,19.810244
3950149694931821312,182.48512757727886,18.57041626231863,0.42312001939457533,-1.9267462772154202,-1.4125482305469346,0.7292338,0.67533684,1.053781,1.7554218,1.2607636,17,1.1901371,0.63778114,20.160704
3950149694931929984,182.47289920237387,18.572689918890273,-1.330336503165042,1.2077285311711192,-2.0827577083540745,1.2481436,0.81111354,0.9288452,0.0,-1.486053,17,1.0184485,0.5460396,20.63796
3950149699227042944,182.48693854790235,18.570274359545692,2.8118532208072513,-1.0523135777998667,-2.004643176077582,2.200047,1.3756955,0.8022183,0.0,-3.2762296,12,1.2775527,0.3931427,20.82224
3950149699227707264,182.48967680785552,18.57691677154579,-0.03383776082525075,-1.7022005020847062,-2.1851793965920647,0.077340044,0.07366735,1.0336808,0.0,0.8423563,17,1.1554557,0.281847,16.996841
3950103004342177536,182.53076232184665,18.54916640351105,1.3078427490020372,-1.9423793979438133,0.22701562643116782,1.201424,1.1330997,0.9733584,0.0,-0.40270397,11,,,20.269356
3949794625691208448,182.66704670152222,18.052816978543525,-0.6991380938207385,-2.1589099109553307,0.8562917830604098,1.4935777,0.9528978,0.96632767,0.0,-0.5843712,13,1.2804403,1.6542969,20.528112
3949794660050665216,182.64748311959264,18.054605552255524,4.389051811628336,-8.324857977346076,-18.653983789235106,0.021812394,0.013473507,0.9967629,0.4104323,-0.048286583,15,1.2305785,1.183073,13.036912
3949794758834522624,182.68494001022913,18.07426374525162,-0.005301771178443382,-8.520001225964235,-14.717356784952825,0.7203971,0.56074864,1.0240705,0.0,0.54318446,15,1.2767676,1.0176697,19.972038
3949794763129880704,182.68415930195073,18.07093498707421,0.5394364518071411,-8.744420595124026,-3.2842951929756654,0.07859151,0.056395695,1.0558918,0.34195065,1.2730551,15,1.2171187,0.8898163,16.456072
